flight_id,arrival_airport,departure_airport,total,aircraft_code,passenger,long,actual_departure
136159,SVO,AAQ,1700600.00,733,115,100.0,2017-01-04T10:07:00Z
136586,EGO,AAQ,759000.00,SU9,96,50.0,2017-01-10T09:28:00Z
136458,SVO,AAQ,1568800.00,733,110,100.0,2017-01-02T10:07:00Z
136887,EGO,AAQ,595200.00,SU9,78,50.0,2017-01-20T09:30:00Z
136729,EGO,AAQ,695400.00,SU9,88,50.0,2017-01-29T09:29:00Z
136165,SVO,AAQ,1567600.00,733,110,100.0,2017-02-22T10:11:00Z
136875,EGO,AAQ,765300.00,SU9,97,50.0,2017-02-16T09:29:00Z
136383,SVO,AAQ,1493200.00,733,106,100.0,2017-01-25T10:09:00Z
136387,SVO,AAQ,1775000.00,733,121,100.0,2017-01-19T10:08:00Z
136264,SVO,AAQ,1690800.00,733,116,100.0,2017-02-18T10:07:00Z
136351,SVO,AAQ,1555400.00,733,105,100.0,2017-02-26T10:13:00Z
136185,SVO,AAQ,1520000.00,733,104,100.0,2017-01-14T10:06:00Z
136780,EGO,AAQ,714900.00,SU9,89,50.0,2017-02-24T09:30:00Z
136310,SVO,AAQ,1654200.00,733,117,100.0,2017-01-22T10:07:00Z
136178,SVO,AAQ,1434600.00,733,99,100.0,2017-01-29T10:10:00Z
136423,SVO,AAQ,1849400.00,733,129,100.0,2017-01-10T10:12:00Z
136769,EGO,AAQ,696000.00,SU9,88,50.0,2017-02-10T09:30:00Z
136855,EGO,AAQ,702300.00,SU9,87,50.0,2017-01-11T12:07:00Z
136936,EGO,AAQ,632400.00,SU9,82,50.0,2017-01-02T09:28:00Z
136122,SVO,AAQ,1431000.00,733,97,100.0,2017-01-08T10:08:00Z
136605,EGO,AAQ,765300.00,SU9,97,50.0,2017-02-15T09:28:00Z
136769,EGO,AAQ,696000.00,SU9,88,50.0,2017-02-10T09:30:00Z
136471,SVO,AAQ,1762800.00,733,120,100.0,2017-01-17T10:11:00Z
136922,EGO,AAQ,607800.00,SU9,76,50.0,2017-02-11T09:27:00Z
136661,EGO,AAQ,759000.00,SU9,96,50.0,2017-01-01T09:27:00Z
136757,EGO,AAQ,765300.00,SU9,97,50.0,2017-01-27T09:30:00Z
136360,SVO,AAQ,1455400.00,733,97,100.0,2017-02-05T10:08:00Z
136185,SVO,AAQ,1520000.00,733,104,100.0,2017-01-14T10:06:00Z
136439,SVO,AAQ,1701800.00,733,117,100.0,2017-02-25T10:08:00Z
136269,SVO,AAQ,1605400.00,733,109,100.0,2017-02-11T10:13:00Z
136956,EGO,AAQ,746400.00,SU9,96,50.0,2017-02-04T09:33:00Z
136366,SVO,AAQ,1527400.00,733,103,100.0,2017-01-11T10:08:00Z
136264,SVO,AAQ,1690800.00,733,116,100.0,2017-02-18T10:07:00Z
136122,SVO,AAQ,1431000.00,733,97,100.0,2017-01-08T10:08:00Z
136215,SVO,AAQ,1664000.00,733,114,100.0,2017-02-28T10:09:00Z
136119,SVO,AAQ,1653000.00,733,113,100.0,2017-01-03T10:08:00Z
136612,EGO,AAQ,746400.00,SU9,94,50.0,2017-02-21T09:27:00Z
136215,SVO,AAQ,1664000.00,733,114,100.0,2017-02-28T10:09:00Z
136351,SVO,AAQ,1555400.00,733,105,100.0,2017-02-26T10:13:00Z
136900,EGO,AAQ,765300.00,SU9,97,50.0,2017-02-01T09:30:00Z
136927,EGO,AAQ,765300.00,SU9,97,50.0,2017-01-22T09:28:00Z
136119,SVO,AAQ,1653000.00,733,113,100.0,2017-01-03T10:08:00Z
136282,SVO,AAQ,1518800.00,733,106,100.0,2017-01-16T10:07:00Z
136130,SVO,AAQ,1556600.00,733,107,100.0,2017-02-13T10:07:00Z
136293,SVO,AAQ,1689600.00,733,114,100.0,2017-01-23T10:09:00Z
136250,SVO,AAQ,1407800.00,733,99,100.0,2017-02-08T10:06:00Z
136649,EGO,AAQ,759000.00,SU9,96,50.0,2017-01-18T09:25:00Z
136120,SVO,AAQ,1605400.00,733,109,100.0,2017-02-24T10:07:00Z
136178,SVO,AAQ,1434600.00,733,99,100.0,2017-01-29T10:10:00Z
136729,EGO,AAQ,695400.00,SU9,88,50.0,2017-01-29T09:29:00Z
136464,SVO,AAQ,1398000.00,733,100,100.0,2017-01-09T10:07:00Z
136706,EGO,AAQ,740100.00,SU9,95,50.0,2017-01-06T09:30:00Z
136767,EGO,AAQ,651300.00,SU9,83,50.0,2017-01-23T09:27:00Z
136937,EGO,AAQ,626100.00,SU9,81,50.0,2017-01-03T09:29:00Z
136284,SVO,AAQ,1677400.00,733,117,100.0,2017-02-07T10:07:00Z
136270,SVO,AAQ,1628600.00,733,111,100.0,2017-02-12T10:12:00Z
136871,EGO,AAQ,765300.00,SU9,97,50.0,2017-01-13T09:28:00Z
136275,SVO,AAQ,1825000.00,733,125,100.0,2017-01-13T10:08:00Z
136293,SVO,AAQ,1689600.00,733,114,100.0,2017-01-23T10:09:00Z
136586,EGO,AAQ,759000.00,SU9,96,50.0,2017-01-10T09:28:00Z
136463,SVO,AAQ,1788400.00,733,122,100.0,2017-01-20T10:06:00Z
136348,SVO,AAQ,1762800.00,733,120,100.0,2017-02-10T10:05:00Z
136250,SVO,AAQ,1407800.00,733,99,100.0,2017-02-08T10:06:00Z
136605,EGO,AAQ,765300.00,SU9,97,50.0,2017-02-15T09:28:00Z
136209,SVO,AAQ,1615200.00,733,112,100.0,2017-01-06T10:09:00Z
136936,EGO,AAQ,632400.00,SU9,82,50.0,2017-01-02T09:28:00Z
136815,EGO,AAQ,765300.00,SU9,97,50.0,2017-02-19T09:26:00Z
136351,SVO,AAQ,1555400.00,733,105,100.0,2017-02-26T10:13:00Z
136345,SVO,AAQ,1517600.00,733,108,100.0,2017-01-24T13:32:00Z
136838,EGO,AAQ,670200.00,SU9,86,50.0,2017-01-24T09:30:00Z
136620,EGO,AAQ,613500.00,SU9,79,50.0,2017-02-17T09:30:00Z
136209,SVO,AAQ,1615200.00,733,112,100.0,2017-01-06T10:09:00Z
136780,EGO,AAQ,714900.00,SU9,89,50.0,2017-02-24T09:30:00Z
136869,EGO,AAQ,765300.00,SU9,97,50.0,2017-01-31T09:26:00Z
136956,EGO,AAQ,746400.00,SU9,96,50.0,2017-02-04T09:33:00Z
136403,SVO,AAQ,1873800.00,733,129,100.0,2017-02-20T10:06:00Z
136165,SVO,AAQ,1567600.00,733,110,100.0,2017-02-22T10:11:00Z
136293,SVO,AAQ,1689600.00,733,114,100.0,2017-01-23T10:09:00Z
136119,SVO,AAQ,1653000.00,733,113,100.0,2017-01-03T10:08:00Z
136282,SVO,AAQ,1518800.00,733,106,100.0,2017-01-16T10:07:00Z
136185,SVO,AAQ,1520000.00,733,104,100.0,2017-01-14T10:06:00Z
136936,EGO,AAQ,632400.00,SU9,82,50.0,2017-01-02T09:28:00Z
136383,SVO,AAQ,1493200.00,733,106,100.0,2017-01-25T10:09:00Z
136428,SVO,AAQ,1678600.00,733,115,100.0,2017-01-21T10:08:00Z
136888,EGO,AAQ,626100.00,SU9,79,50.0,2017-02-14T09:29:00Z
136937,EGO,AAQ,626100.00,SU9,81,50.0,2017-01-03T09:29:00Z
136204,SVO,AAQ,1457800.00,733,107,100.0,2017-02-23T10:06:00Z
136428,SVO,AAQ,1678600.00,733,115,100.0,2017-01-21T10:08:00Z
136869,EGO,AAQ,765300.00,SU9,97,50.0,2017-01-31T09:26:00Z
136403,SVO,AAQ,1873800.00,733,129,100.0,2017-02-20T10:06:00Z
136215,SVO,AAQ,1664000.00,733,114,100.0,2017-02-28T10:09:00Z
136316,SVO,AAQ,1886000.00,733,130,100.0,2017-01-12T10:07:00Z
136387,SVO,AAQ,1775000.00,733,121,100.0,2017-01-19T10:08:00Z
136411,SVO,AAQ,1590800.00,733,110,100.0,2017-02-04T10:06:00Z
136266,SVO,AAQ,1566400.00,733,108,100.0,2017-02-27T10:08:00Z
136609,EGO,AAQ,639300.00,SU9,81,50.0,2017-01-08T09:28:00Z
136181,SVO,AAQ,1689600.00,733,118,100.0,2017-01-31T10:05:00Z
136249,SVO,AAQ,1800600.00,733,123,100.0,2017-02-14T10:08:00Z
136630,EGO,AAQ,746400.00,SU9,94,50.0,2017-02-25T09:32:00Z
136345,SVO,AAQ,1517600.00,733,108,100.0,2017-01-24T13:32:00Z
136956,EGO,AAQ,746400.00,SU9,96,50.0,2017-02-04T09:33:00Z
136458,SVO,AAQ,1568800.00,733,110,100.0,2017-01-02T10:07:00Z
136209,SVO,AAQ,1615200.00,733,112,100.0,2017-01-06T10:09:00Z
136310,SVO,AAQ,1654200.00,733,117,100.0,2017-01-22T10:07:00Z
136757,EGO,AAQ,765300.00,SU9,97,50.0,2017-01-27T09:30:00Z
136131,SVO,AAQ,1812800.00,733,124,100.0,2017-01-28T10:07:00Z
136420,SVO,AAQ,1542000.00,733,104,100.0,2017-01-01T10:09:00Z
136661,EGO,AAQ,759000.00,SU9,96,50.0,2017-01-01T09:27:00Z
136838,EGO,AAQ,670200.00,SU9,86,50.0,2017-01-24T09:30:00Z
136185,SVO,AAQ,1520000.00,733,104,100.0,2017-01-14T10:06:00Z
136131,SVO,AAQ,1812800.00,733,124,100.0,2017-01-28T10:07:00Z
136706,EGO,AAQ,740100.00,SU9,95,50.0,2017-01-06T09:30:00Z
136268,SVO,AAQ,1676200.00,733,115,100.0,2017-02-16T10:08:00Z
136871,EGO,AAQ,765300.00,SU9,97,50.0,2017-01-13T09:28:00Z
136605,EGO,AAQ,765300.00,SU9,97,50.0,2017-02-15T09:28:00Z
136226,SVO,AAQ,1886000.00,733,130,100.0,2017-01-30T10:08:00Z
136411,SVO,AAQ,1590800.00,733,110,100.0,2017-02-04T10:06:00Z
136351,SVO,AAQ,1555400.00,733,105,100.0,2017-02-26T10:13:00Z
136131,SVO,AAQ,1812800.00,733,124,100.0,2017-01-28T10:07:00Z
136620,EGO,AAQ,613500.00,SU9,79,50.0,2017-02-17T09:30:00Z
136757,EGO,AAQ,765300.00,SU9,97,50.0,2017-01-27T09:30:00Z
136927,EGO,AAQ,765300.00,SU9,97,50.0,2017-01-22T09:28:00Z
136389,SVO,AAQ,1873800.00,733,129,100.0,2017-01-18T10:10:00Z
136268,SVO,AAQ,1676200.00,733,115,100.0,2017-02-16T10:08:00Z
136264,SVO,AAQ,1690800.00,733,116,100.0,2017-02-18T10:07:00Z
136600,EGO,AAQ,765300.00,SU9,97,50.0,2017-02-08T09:26:00Z
136666,EGO,AAQ,664500.00,SU9,87,50.0,2017-02-09T09:26:00Z
136757,EGO,AAQ,765300.00,SU9,97,50.0,2017-01-27T09:30:00Z
136463,SVO,AAQ,1788400.00,733,122,100.0,2017-01-20T10:06:00Z
136654,EGO,AAQ,759000.00,SU9,96,50.0,2017-01-19T09:28:00Z
136936,EGO,AAQ,632400.00,SU9,82,50.0,2017-01-02T09:28:00Z
136486,SVO,AAQ,1505400.00,733,107,100.0,2017-02-02T10:07:00Z
136900,EGO,AAQ,765300.00,SU9,97,50.0,2017-02-01T09:30:00Z
136264,SVO,AAQ,1690800.00,733,116,100.0,2017-02-18T10:07:00Z
136345,SVO,AAQ,1517600.00,733,108,100.0,2017-01-24T13:32:00Z
136310,SVO,AAQ,1654200.00,733,117,100.0,2017-01-22T10:07:00Z
136351,SVO,AAQ,1555400.00,733,105,100.0,2017-02-26T10:13:00Z
136778,EGO,AAQ,759000.00,SU9,96,50.0,2017-02-22T09:26:00Z
136226,SVO,AAQ,1886000.00,733,130,100.0,2017-01-30T10:08:00Z
136458,SVO,AAQ,1568800.00,733,110,100.0,2017-01-02T10:07:00Z
136612,EGO,AAQ,746400.00,SU9,94,50.0,2017-02-21T09:27:00Z
136439,SVO,AAQ,1701800.00,733,117,100.0,2017-02-25T10:08:00Z
136411,SVO,AAQ,1590800.00,733,110,100.0,2017-02-04T10:06:00Z
136204,SVO,AAQ,1457800.00,733,107,100.0,2017-02-23T10:06:00Z
136360,SVO,AAQ,1455400.00,733,97,100.0,2017-02-05T10:08:00Z
136185,SVO,AAQ,1520000.00,733,104,100.0,2017-01-14T10:06:00Z
136733,EGO,AAQ,746400.00,SU9,94,50.0,2017-01-09T09:27:00Z
136620,EGO,AAQ,613500.00,SU9,79,50.0,2017-02-17T09:30:00Z
136956,EGO,AAQ,746400.00,SU9,96,50.0,2017-02-04T09:33:00Z
136927,EGO,AAQ,765300.00,SU9,97,50.0,2017-01-22T09:28:00Z
136861,EGO,AAQ,689100.00,SU9,87,50.0,2017-02-12T09:28:00Z
136754,EGO,AAQ,721200.00,SU9,90,50.0,2017-02-06T09:29:00Z
136204,SVO,AAQ,1457800.00,733,107,100.0,2017-02-23T10:06:00Z
136678,EGO,AAQ,631200.00,SU9,80,50.0,2017-01-28T09:27:00Z
136802,EGO,AAQ,746400.00,SU9,96,50.0,2017-02-26T09:32:00Z
136767,EGO,AAQ,651300.00,SU9,83,50.0,2017-01-23T09:27:00Z
136757,EGO,AAQ,765300.00,SU9,97,50.0,2017-01-27T09:30:00Z
136661,EGO,AAQ,759000.00,SU9,96,50.0,2017-01-01T09:27:00Z
136887,EGO,AAQ,595200.00,SU9,78,50.0,2017-01-20T09:30:00Z
136250,SVO,AAQ,1407800.00,733,99,100.0,2017-02-08T10:06:00Z
136316,SVO,AAQ,1886000.00,733,130,100.0,2017-01-12T10:07:00Z
136428,SVO,AAQ,1678600.00,733,115,100.0,2017-01-21T10:08:00Z
136366,SVO,AAQ,1527400.00,733,103,100.0,2017-01-11T10:08:00Z
136411,SVO,AAQ,1590800.00,733,110,100.0,2017-02-04T10:06:00Z
136428,SVO,AAQ,1678600.00,733,115,100.0,2017-01-21T10:08:00Z
136471,SVO,AAQ,1762800.00,733,120,100.0,2017-01-17T10:11:00Z
136320,SVO,AAQ,1544400.00,733,106,100.0,2017-02-19T10:05:00Z
136270,SVO,AAQ,1628600.00,733,111,100.0,2017-02-12T10:12:00Z
136767,EGO,AAQ,651300.00,SU9,83,50.0,2017-01-23T09:27:00Z
136275,SVO,AAQ,1825000.00,733,125,100.0,2017-01-13T10:08:00Z
136165,SVO,AAQ,1567600.00,733,110,100.0,2017-02-22T10:11:00Z
136875,EGO,AAQ,765300.00,SU9,97,50.0,2017-02-16T09:29:00Z
136366,SVO,AAQ,1527400.00,733,103,100.0,2017-01-11T10:08:00Z
136420,SVO,AAQ,1542000.00,733,104,100.0,2017-01-01T10:09:00Z
136387,SVO,AAQ,1775000.00,733,121,100.0,2017-01-19T10:08:00Z
136360,SVO,AAQ,1455400.00,733,97,100.0,2017-02-05T10:08:00Z
136452,SVO,AAQ,1603000.00,733,109,100.0,2017-02-17T10:08:00Z
136275,SVO,AAQ,1825000.00,733,125,100.0,2017-01-13T10:08:00Z
136264,SVO,AAQ,1690800.00,733,116,100.0,2017-02-18T10:07:00Z
136348,SVO,AAQ,1762800.00,733,120,100.0,2017-02-10T10:05:00Z
136869,EGO,AAQ,765300.00,SU9,97,50.0,2017-01-31T09:26:00Z
136270,SVO,AAQ,1628600.00,733,111,100.0,2017-02-12T10:12:00Z
136389,SVO,AAQ,1873800.00,733,129,100.0,2017-01-18T10:10:00Z
136486,SVO,AAQ,1505400.00,733,107,100.0,2017-02-02T10:07:00Z
136268,SVO,AAQ,1676200.00,733,115,100.0,2017-02-16T10:08:00Z
136452,SVO,AAQ,1603000.00,733,109,100.0,2017-02-17T10:08:00Z
136172,SVO,AAQ,1617600.00,733,110,100.0,2017-01-15T10:05:00Z
136250,SVO,AAQ,1407800.00,733,99,100.0,2017-02-08T10:06:00Z
136900,EGO,AAQ,765300.00,SU9,97,50.0,2017-02-01T09:30:00Z
136464,SVO,AAQ,1398000.00,733,100,100.0,2017-01-09T10:07:00Z
136571,EGO,AAQ,752700.00,SU9,95,50.0,2017-01-25T09:28:00Z
136322,SVO,AAQ,1567600.00,733,108,100.0,2017-02-06T10:11:00Z
136320,SVO,AAQ,1544400.00,733,106,100.0,2017-02-19T10:05:00Z
136164,SVO,AAQ,1738400.00,733,120,100.0,2017-01-07T10:07:00Z
136172,SVO,AAQ,1617600.00,733,110,100.0,2017-01-15T10:05:00Z
